chunks,put100time
1647000,620
1648000,724
1649000,1931
1650000,629
1651000,448
1652000,469
1653000,507
1654000,443
1655000,437
1656000,573
1657000,525
1658000,2346
1659000,506
1660000,516
1661000,470
1662000,456
1663000,444
1664000,508
1665000,453
1666000,457
1667000,458
1668000,1939
1669000,452
1670000,459
1671000,545
1672000,525
1673000,512
1674000,447
1675000,675
1676000,511
1677000,483
1678000,1854
1679000,602
1680000,581
1681000,573
1682000,507
1683000,519
1684000,510
1685000,497
1686000,665
1687000,1764
1688000,535
1689000,529
1690000,578
1691000,521
1692000,621
1693000,1199
1694000,711
1695000,1758
1696000,404
1697000,579
1698000,464
1699000,483
1700000,459
1701000,475
1702000,495
1703000,597
1704000,1933
1705000,577
1706000,500
1707000,547
1708000,649
1709000,658
1710000,699
1711000,685
1712000,2191
1713000,532
1714000,715
1715000,754
1716000,819
1717000,756
1718000,721
1719000,2126
1720000,658
1721000,696
1722000,669
1723000,751
1724000,582
1725000,977
1726000,1739
1727000,688
1728000,654
1729000,801
1730000,1222
1731000,559
1732000,608
1733000,1671
1734000,547
1735000,675
1736000,735
1737000,636
1738000,672
1739000,633
1740000,496
1741000,2482
1742000,710
1743000,528
1744000,749
1745000,579
1746000,706
1747000,799
1748000,617
1749000,2436
1750000,651
1751000,566
1752000,523
1753000,679
1754000,850
1755000,743
1756000,1753
1757000,667
1758000,763
1759000,799
1760000,974
1761000,611
1762000,758
1763000,2025
1764000,833
1765000,911
1766000,656
1767000,1022
1768000,983
1769000,1743
1770000,720
1771000,772
1772000,718
1773000,779
1774000,576
1775000,690
1776000,1827
1777000,725
1778000,874
1779000,511
1780000,492
1781000,550
1782000,644
1783000,2008
1784000,520
1785000,556
1786000,682
1787000,501
1788000,555
1789000,499
1790000,572
1791000,496
1792000,541
1793000,1920
1794000,530
1795000,549
1796000,540
1797000,702
1798000,1118
1799000,569
1800000,1673
1801000,507
1802000,585
1803000,538
1804000,527
1805000,622
1806000,575
1807000,667
1808000,522
1809000,1730
1810000,553
1811000,561
1812000,508
1813000,607
1814000,551
1815000,581
1816000,960
1817000,2179
1818000,664
1819000,726
1820000,775
1821000,924
1822000,614
1823000,733
1824000,1949
1825000,568
1826000,562
1827000,577
1828000,719
1829000,664
1830000,823
1831000,1658
1832000,650
1833000,656
1834000,593
1835000,644
1836000,833
